,Unnamed: 0,run,hr,min,sec,AoA,rounded_AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,rounded_v,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,pInf,nu,rounded_J,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,delta_e,Drag coefficient,Thrust coefficient,V cor,q cor,CDbcor,CMbcor,CL cor,CLa,CM25ca,dAoA,dCD,dCM25c,AoA cor,CD cor,CM cor
0,0,33.0,9.0,57.0,15.0,-4.995,-5,0.0,418.37,100757.0,286.42999999999995,-656.3,22.9,-54.7,-95.8,-1342.0,-37.0,0.0,1.2254600953057115,980.5387550946276,40.00348178253014,40,454115.771954864,123.03,123.03,11.26,11.23,0.0,100757.0,1.4533209930516274e-05,1.6,1.600158729231353,1.600158729231353,-6.031749932724279,-0.0997747109542305,-42.236780950024254,-0.7393713554415764,-11.380227913373918,0.2396563807168709,-0.0283256148480533,-0.0004685505973535,-0.1983475447351031,-0.0024861642275806,-0.3239340772938907,0.0008058536705062,-0.1951280027572227,-0.0454879269580538,-0.22114754473510312,-0.0344256148480533,0.0004685505973535,-0.0025381186467247,-0.3159504186697767,-0.3172504186697767,0.0010237842452849,15,0.031114039731173465,0.06579694677828198,40.23117593450243,991.9053546575933,0.03075749277964245,-0.313614932226166,-0.21861333562580287,6.501430123715283,-2.303736534496652,-0.0007271533552499076,0.00011812936780287136,0.0033690011929380236,-5.00072715335525,0.03087562214744532,-0.31024593103322795
1,1,34.0,9.0,58.0,14.0,7.001,7,0.0,418.59,100756.0,286.61,336.3,14.3,2372.4,2330.2,-1795.2,-24.3,0.0,1.2246783133344137,981.0583620370156,40.02684929440837,40,453869.236936047,123.03,123.03,11.52,11.46,0.0,100756.0,1.454959815023366e-05,1.6,1.6010934410725783,1.6010934410725783,3.1487540649798533,-0.0699388639783542,244.19534574830703,-0.7100475185789309,-28.036196624289104,0.1666587464592095,0.0147789873855642,-0.0003282649477114,1.1461549107839957,-0.0023862971676364,-0.7976175375614518,0.0005600995485955,1.1394105693222083,-0.1250322058481426,1.1400549107839957,0.008578987385564202,0.0003282649477114,-0.0025286062660603,-0.801783039024681,-0.799583039024681,0.0002477200711904,15,0.07237009911099043,0.06428000767792844,40.241227490702755,992.9269546792824,0.07150504934899031,-0.7900255128349373,1.1264276774188973,6.501430123715283,-2.303736534496652,0.003635766776249538,0.0029532341950717837,-0.017408400894171602,7.00363576677625,0.07445828354406209,-0.8074339137291089
2,2,35.0,9.0,58.0,56.0,12.001,12,0.0,417.55,100755.0,286.61,2354.4,10.8,2795.2,2747.0,-1066.8,8.6,0.0,1.224666158442265,978.6020777720856,39.976908492964334,40,453298.4531916427,123.03,123.03,10.94,11.38,0.0,100755.0,1.454974255595199e-05,1.6,1.5990957847233156,1.5990957847233156,21.717481297895148,0.2884332332923882,313.496153615456,-0.503800992096479,-40.68041831685183,-0.0460956627879364,0.1021889892977443,0.0013571877965833,1.475118345781596,-0.0016974025115332,-1.1602450325979352,-0.0001553051602011,1.4641261477831642,-0.2067639885781806,1.4582183457815956,0.0930889892977442,-0.0013571877965833,-0.0012538447454483,-1.1890473025600468,-1.1873473025600467,-0.0004126211927633,15,0.15079479150135647,0.059019569821254704,40.346011398862885,995.6056777436479,0.1482194201773448,-1.1670690146681983,1.4333139464022584,3.6458844041494776,-4.443451149315014,0.00438082429917208,0.004287632218626055,-0.03211339158876668,12.004380824299172,0.15250705239597084,-1.199182406256965
3,3,36.0,9.0,59.0,27.0,14.001,14,0.0,417.77,100758.0,286.67,3488.2,-58.7,2853.4,2859.5,-358.6,40.9,0.0,1.2244462929921294,979.1216680187064,39.99110996613043,40,453304.2406515956,123.04,123.03,11.45,12.22,0.0,100758.0,1.4554725407672256e-05,1.6,1.5995338388662748,1.59966385055764,32.14030279234124,-0.4185282249894817,341.35907697178453,-0.3869256023920353,-43.85996548664963,-0.2589857228672511,0.1511520645171352,-0.001968289025607,1.6053715971289495,-0.001302935032696,-1.2502649752682176,-0.0008721097006911,1.5942479748319256,-0.2417401626136033,1.5719715971289494,0.1400520645171352,0.001968289025607,-0.001591516369475,-1.2928676333184732,-1.2916676333184731,-0.0012312502419792,15,0.193475489227683,0.055079389105187115,40.441200665484224,1000.8402457773929,0.18927700452953072,-1.2636380011659252,1.537859272498985,3.258790604047109,-2.988557334933309,0.004732803959099987,0.005004294804390177,-0.024366155649415296,14.0047328039591,0.1942812993339209,-1.2880041568153404
4,6,39.0,10.0,1.0,57.0,-4.995,-5,0.0,417.32,100752.0,286.88,184.0,24.3,-226.1,-268.3,-579.2,-37.5,0.0,1.2234771212012732,978.0588745763722,39.985227433536735,40,452620.88939829136,109.36,109.36,6.82,7.31,0.0,100752.0,1.4574555450817507e-05,1.8,1.7993571146916678,1.7993571146916678,1.699106370950575,-0.0801050932647857,-44.57895542324008,-0.7611369653642691,-9.627861977092358,0.240972874069169,0.0079993804325209,-0.0003771341962828,-0.2098773977966931,-0.0025658411853498,-0.2747484801974277,0.0008123349055092,-0.2097768429373914,-0.0103047736722627,-0.2326773977966931,0.0018993804325208993,0.0003771341962828,-0.0025912605693924,-0.2770031293169702,-0.2783031293169702,0.0010348678703653,15,0.031114039731173465,0.0293305371454918,40.24403036150537,990.0290802415574,0.030737847291890757,-0.27493823250568067,-0.22986415083167774,5.443186508305182,-3.056512380904093,-0.0007271533552499076,0.00011812936780287136,0.004223701863517894,-5.00072715335525,0.03085597665969363,-0.2707145306421628
5,7,40.0,10.0,2.0,44.0,7.001,7,0.0,417.35,100754.0,286.95,1136.6,11.8,2177.3,2134.5,-1024.8,-21.9,0.0,1.2232029411308545,978.1297268894716,39.99115694894886,40,452500.6793280288,109.36,109.36,7.43,6.69,0.0,100754.0,1.458058916027122e-05,1.8,1.799623946129884,1.799623946129884,10.51182366543235,-0.0766841303900344,239.1612969321432,-0.7527145926169789,-25.808802330838105,0.1492051101057546,0.0494860044840679,-0.0003610021763223,1.12588808460694,-0.0025372650264548,-0.7364475717195547,0.0005029434945899,1.1235251747264652,-0.0881137075349076,1.11978808460694,0.0432860044840679,0.0003610021763223,-0.0026806402394572,-0.7503953489731638,-0.7481953489731639,0.0001724592570999,15,0.07237009911099043,0.029312034759210757,40.25344361208762,990.5640314785803,0.07146165520742284,-0.7388034383387749,1.1057316625314544,6.459700239984418,-2.244318190424652,0.003635766776249538,0.0029532341950717837,-0.01707625852270806,7.00363576677625,0.07441488940249462,-0.755879696861483
6,5,38.0,10.0,0.0,49.0,12.005,12,0.0,418.17,100757.0,286.77,3047.8,34.8,2620.6,2566.7,-351.9,-3.7,0.0,1.2240071663647345,980.0663890340433,40.0175747931528,40,453318.5228185626,109.36,109.37,7.56,7.07,0.0,100757.0,1.456389839375202e-05,1.8,1.800812763575081,1.8006481103096903,28.09689820713114,0.5229225067348195,309.30020872952406,-0.3735224935433827,-38.13909324809799,0.0327231171427056,0.1320090372282492,0.0024568725042227,1.4532003663848567,-0.0012565889033579,-1.0861387523438786,0.0001100857554647,1.4488755701468032,-0.1731394611369308,1.4363003663848568,0.1229090372282492,-0.0024568725042227,-0.0005746721676855,-1.123345891330333,-1.1216458913303329,-1.18519955044534e-05,15,0.15079479150135647,0.028623895176411347,40.36023682452155,997.7986790828955,0.14811495534120445,-1.101712661617648,1.4107752827904203,3.6240643305216045,-4.276007181042639,0.00438082429917208,0.004287632218626055,-0.030980821084613835,12.004380824299172,0.1524025875598305,-1.132693482702262
7,4,37.0,10.0,0.0,18.0,14.001,14,0.0,417.69,100757.0,286.73,4131.2,-61.6,2659.0,2672.1,317.3,40.3,0.0,1.2241779203376522,978.9327255925722,39.99163410992599,40,453137.0394310696,109.35,109.36,8.25,7.25,0.0,100757.0,1.456028672949254e-05,1.8,1.7998099952621789,1.7996454186349602,38.0563678483656,-0.468990143674517,334.55290953946445,-0.3503271495649788,-41.33629756056376,-0.256716891257561,0.1790091664200857,-0.0022060311959596,1.5736666646353608,-0.0011799209271766,-1.1785531386864605,-0.0008646364768778,1.5702246628582486,-0.2070399990308507,1.5402666646353602,0.16790916642008571,0.0022060311959596,-0.0015389825105698,-1.2290074035965612,-1.2278074035965612,-0.0012112890560264,15,0.193475489227683,0.02636978915790502,40.451094142109426,1001.1367658887888,0.18918442959875423,-1.2005760741775,1.5061053549584347,2.984383818312727,-3.047398095982567,0.004732803959099987,0.005004294804390177,-0.02481129470093325,14.0047328039591,0.1941887244031444,-1.2253873688784334
8,10,43.0,10.0,5.0,5.0,-4.995,-5,0.0,416.94,100749.0,286.96,2002.2,26.4,-614.5,-658.5,1135.9,-38.3,0.0,1.2230996145431592,977.1614191533154,39.97304559700552,40,452245.2836556677,56.24,56.24,-0.87,-0.82,0.0,100749.0,1.4582216186920367e-05,3.5,3.497826174960021,3.497826174960021,18.42673015240221,-0.0486559580555784,-50.17419954027029,-0.8129164964940296,-5.000755895095265,0.2419288062321783,0.0868325880638055,-0.0002292822832779,-0.2364367179677563,-0.002742910144888,-0.1428366924820141,0.0008163064469928,-0.2430992122016723,0.0659165607427236,-0.2592367179677563,0.08073258806380551,0.0002292822832779,-0.0027257970358744,-0.1673107151737892,-0.1686107151737892,0.001050538258899,15,0.031114039731173465,-0.04981023001217456,40.25466218357374,989.6433294893413,0.030721612841056952,-0.1664841067626777,-0.2559670859972677,5.427666300414508,-3.194751522470947,-0.0007271533552499076,0.00011812936780287136,0.004379180830963141,-5.00072715335525,0.030839742208859825,-0.16210492593171455
9,11,44.0,10.0,6.0,1.0,7.001,7,0.0,417.62,100752.0,287.04999999999995,2950.5,8.1,1727.0,1685.5,735.4,-22.1,0.0,1.222752539732525,978.767401455585,40.01155769428753,40,452442.1776219965,56.23,56.23,-0.96,-0.88,0.0,100752.0,1.4589913438778196e-05,3.5,3.501818817669514,3.501818817669514,27.20046614600068,-0.1299968833088936,227.266610395361,-0.8471173453075547,-20.578056036179674,0.1462392313817307,0.1279668947471921,-0.0006115813381491,1.0691950004059152,-0.0028536192988569,-0.5868070058455366,0.0004926248945704,1.0768205668788169,-0.0033078378175676,1.0630950004059152,0.12176689474719211,0.0006115813381491,-0.0030634779736314,-0.6228748549753753,-0.6206748549753753,0.0001155547770482,15,0.07237009911099043,-0.0497577784390829,40.26428424342473,991.7437685308461,0.0714231801575914,-0.6125537000882857,1.0491850456384877,6.315774139637643,-2.1591669956521256,0.003635766776249538,0.0029532341950717837,-0.01660374781118371,7.00363576677625,0.07437641435266318,-0.6291574478994694
